sec_code,category_id
PFF.O,equity_us
SMH.O,equity_us
SPY.P,equity_us
IUSG.O,equity_us
IBB.O,equity_us
DVY.O,equity_us
QQQ.O,equity_us
VONG.O,equity_us
VTWO.O,equity_us
XLE.P,equity_us
VTI.P,equity_us
MDY.P,equity_us
VUG.P,equity_us
VTV.P,equity_us
VOT.P,equity_us
VOE.P,equity_us
VBK.P,equity_us
VBR.P,equity_us
SPYG.P,equity_us
SPYV.P,equity_us
XRT.P,equity_us
XLF.P,equity_us
XHB.P,equity_us
PPH.O,equity_us
IJJ.P,equity_us
IJK.P,equity_us
IJS.P,equity_us
IJT.O,equity_us
MINT.P,equity_us
XLV.P,equity_us
XLB.P,equity_us
XLC.P,equity_us
XLI.P,equity_us
XLK.P,equity_us
XLP.P,equity_us
XLU.P,equity_us
XMMO.P,equity_us
XLY.P,equity_us
KSA.P,equity_global
CQQQ.P,equity_global
KWEB.P,equity_global
MCHI.O,equity_global
ICLN.O,equity_global
ACWI.O,equity_global
INDA.B,equity_global
EWT.P,equity_global
VXUS.O,equity_global
EWZ.P,equity_global
EWG.P,equity_global
IEMG.P,equity_global
EMXC.O,equity_global
EWJ.P,equity_global
VGK.P,equity_global
EWQ.P,equity_global
EWA.P,equity_global
EWU.P,equity_global
EWH.P,equity_global
EFA.P,equity_global
EWY.P,equity_global
VEGI.P,equity_global
VEU.P,equity_global
SCZ.O,equity_global
CBON.P,bond
BWX.P,bond
EMB.O,bond
IUSB.O,bond
IGOV.O,bond
IAGG.B,bond
IEF.O,bond
SHY.O,bond
MBB.O,bond
TIP.P,bond
IGSB.O,bond
FLOT.B,bond
VTIP.O,bond
SHV.O,bond
BIL.P,bond
TLT.O,bond
HYG.P,bond
BNDX.O,bond
VCLT.O,bond
SPAB.P,bond
BND.O,bond
BSV.P,bond
IEI.O,bond
JNK.P,bond
CWB.P,bond
ICVT.B,bond
ANGL.O,bond
DBA.P,commodity
USO.P,commodity
CPER.P,commodity
SLV.P,commodity
GLD.P,commodity
DBC.P,commodity
GSG.P,commodity
BITO.P,alternative
VNQ.P,alternative
VNQI.O,alternative
PSP.P,alternative
XLRE.P,alternative
